site,lat,long,elev,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
MB-1-1,48.848328,-121.903279,521,7.6,16.1,0.5,15.6,1988,398,8.9,40.4,204,1540,3799,41,225,146,281,136,204,-23.2,35.3,11.9,713,142,64,142.45,625
MB-1-2,48.847989,-121.903299,517,7.6,16.1,0.5,15.6,1989,397,8.9,40.4,204,1541,3798,41,225,146,281,136,204,-23.3,35.3,11.9,714,143,64,142.41,626
MB-10-1,48.867297,-121.677529,1272,5.5,14.3,-1.2,15.5,2627,591,5.9,24.2,336,1070,4557,17,210,144,277,133,575,-24.5,32.5,11.5,544,50,73,222.65,374
MB-10-2,48.867394,-121.677754,1264,5.5,14.3,-1.2,15.5,2622,590,5.9,24.2,335,1073,4551,17,210,144,277,133,570,-24.5,32.6,11.5,546,51,72,222,376
MB-11-1,48.849178,-121.685429,1440,5,13.8,-1.8,15.6,2672,597,5.6,23.1,387,982,4744,12,200,148,274,126,705,-25.6,31.9,12.8,513,36,73,229.24,325
MB-11-2,48.849329,-121.685509,1442,5,13.8,-1.8,15.6,2673,598,5.6,23.1,388,981,4746,12,200,148,274,126,706,-25.6,31.9,12.8,513,36,73,229.37,325
MB-12-1,48.917054,-121.857501,1091,6.6,15.1,-0.6,15.7,2020,421,8.2,35.8,270,1300,4182,26,221,143,280,137,318,-23.8,33.7,16.3,623,93,69,153.82,492
MB-12-2,48.917187,-121.857443,1099,6.5,15.1,-0.6,15.7,2021,422,8.2,35.7,272,1294,4192,26,220,143,280,137,322,-23.8,33.7,16.3,621,91,69,154.25,489
MB-13-1,48.920953,-121.856432,1329,5.7,14.3,-1.2,15.6,2069,441,7.6,32.4,328,1115,4483,17,216,141,279,139,435,-24.3,32.4,16.1,547,60,73,166.05,392
MB-13-2,48.920977,-121.856589,1321,5.7,14.3,-1.2,15.6,2068,440,7.6,32.5,326,1121,4474,18,216,141,279,138,431,-24.3,32.5,16.1,549,61,73,165.72,395
MB-14-1,48.925748,-121.859006,1460,5.2,13.9,-1.6,15.5,2109,451,7.2,30.8,365,1024,4652,14,212,140,278,139,519,-24.7,31.7,15.9,500,48,75,173.47,344
MB-14-2,48.925796,-121.859147,1457,5.2,13.9,-1.6,15.5,2109,451,7.2,30.8,365,1026,4648,14,212,140,278,138,517,-24.7,31.7,15.9,501,49,75,173.37,344
MB-15-1,48.925003,-121.868887,1592,4.8,13.5,-1.9,15.4,2123,456,7,29.6,399,951,4801,11,212,137,278,141,591,-24.8,31.1,15.9,467,36,77,178.21,305
MB-15-2,48.925108,-121.868588,1594,4.8,13.5,-1.9,15.4,2124,457,7,29.6,400,950,4804,11,212,137,278,141,593,-24.8,31,15.9,467,36,77,178.33,305
MB-2-1,48.833294,-121.906649,671,7.2,15.6,0.1,15.6,2140,416,8,37.6,228,1437,3961,34,216,150,279,129,264,-24.2,34.9,12.7,698,127,64,159.71,565
MB-2-2,48.833462,-121.90644,660,7.2,15.7,0.1,15.6,2134,415,8.1,37.8,227,1443,3953,34,216,150,279,129,261,-24.2,34.9,12.7,700,129,64,158.85,569
MB-3-1,48.822705,-121.907131,812,6.7,15.2,-0.3,15.5,2378,447,7,34,255,1331,4118,27,208,154,277,123,352,-25,34.3,12.9,670,103,65,185.94,507
MB-3-2,48.8228,-121.907262,813,6.7,15.2,-0.3,15.5,2376,447,7,34,255,1331,4118,27,208,154,277,123,351,-25,34.3,13,669,103,65,185.8,507
