"","region","site","lat","long","elev","canopy","MAT","MAP","species","temprange_pos","pptrange_pos"
"1","RP","RP-1B-5",48.519443,-120.73221,1522,"closed",2.7,1391,"ABIGRA",-2.14226289517471,0.217860183520954
"2","RP","RP-1B-5",48.519443,-120.73221,1522,"closed",2.7,1391,"PICSIT",-1.73863636363636,-0.417712441735389
"3","RP","RP-1B-5",48.519443,-120.73221,1522,"closed",2.7,1391,"PINPON",-1.3637236084453,0.105322243200491
"4","RP","RP-1B-5",48.519443,-120.73221,1522,"closed",2.7,1391,"MAHNER",-1.87379972565158,-0.539464485458613
"5","RP","RP-1B-5",48.519443,-120.73221,1522,"closed",2.7,1391,"RUBURS",-2.25375081539465,-0.461759191950109
"6","RP","RP-1B-5",48.519443,-120.73221,1522,"closed",2.7,1391,"SAMCER",-1.55421686746988,0.1986903804001
"7","RP","RP-1B-5",48.519443,-120.73221,1522,"closed",2.7,1391,"SORSIT",-0.415513833992094,-0.63487481134631
"8","RP","RP-1B-5",48.519443,-120.73221,1522,"closed",2.7,1391,"VACPAR",-1.86829960951367,-0.626519879176314
"9","RP","RP-1B-5",48.519443,-120.73221,1522,"closed",2.7,1391,"ERILAN",-0.968503937007874,-0.165794563778886
"10","RP","RP-1B-5",48.519443,-120.73221,1522,"closed",2.7,1391,"MAIDIL",-1.27889447236181,-0.521414691711844
"11","RP","RP-1B-5",48.519443,-120.73221,1522,"closed",2.7,1391,"TOLMEN",-1.93098384728341,-0.748087066339796
"12","RP","RP-1B-5",48.519443,-120.73221,1522,"closed",2.7,1391,"CARSTI",-1.45697643632513,0.202483647739122
"13","RP","RP-1B-6",48.519247,-120.732445,1514,"open",2.7,1389,"ABIGRA",-2.14226289517471,0.21483303377164
"14","RP","RP-1B-6",48.519247,-120.732445,1514,"open",2.7,1389,"PICSIT",-1.73863636363636,-0.419146647543923
"15","RP","RP-1B-6",48.519247,-120.732445,1514,"open",2.7,1389,"PINPON",-1.3637236084453,0.103281114456296
"16","RP","RP-1B-6",48.519247,-120.732445,1514,"open",2.7,1389,"MAHNER",-1.87379972565158,-0.54086269574944
"17","RP","RP-1B-6",48.519247,-120.732445,1514,"open",2.7,1389,"RUBURS",-2.25375081539465,-0.463289589470865
"18","RP","RP-1B-6",48.519247,-120.732445,1514,"open",2.7,1389,"SAMCER",-1.55421686746988,0.196470686162981
"19","RP","RP-1B-6",48.519247,-120.732445,1514,"open",2.7,1389,"SORSIT",-0.415513833992094,-0.63611315351573
"20","RP","RP-1B-6",48.519247,-120.732445,1514,"open",2.7,1389,"VACPAR",-1.86829960951367,-0.627746515585949
"21","RP","RP-1B-6",48.519247,-120.732445,1514,"open",2.7,1389,"ERILAN",-0.968503937007874,-0.16742339407513
"22","RP","RP-1B-6",48.519247,-120.732445,1514,"open",2.7,1389,"MAIDIL",-1.27889447236181,-0.522834352235521
"23","RP","RP-1B-6",48.519247,-120.732445,1514,"open",2.7,1389,"TOLMEN",-1.93098384728341,-0.749572840056459
"24","RP","RP-1B-6",48.519247,-120.732445,1514,"open",2.7,1389,"CARSTI",-1.45697643632513,0.199955761999558
"25","RP","RP-2-5",48.593908,-120.370935,842,"closed",6.6,529,"ABIGRA",-0.844425956738769,-1.08684135843345
"26","RP","RP-2-5",48.593908,-120.370935,842,"closed",6.6,529,"PICSIT",-0.556818181818182,-1.03585514521334
"27","RP","RP-2-5",48.593908,-120.370935,842,"closed",6.6,529,"PINPON",-0.615163147792706,-0.774404245547788
"28","RP","RP-2-5",48.593908,-120.370935,842,"closed",6.6,529,"MAHNER",-0.803840877914952,-1.14209312080537
"29","RP","RP-2-5",48.593908,-120.370935,842,"closed",6.6,529,"RUBURS",-1.23613829093281,-1.12136052339595
"30","RP","RP-2-5",48.593908,-120.370935,842,"closed",6.6,529,"SAMCER",-0.614457831325301,-0.757997835798119
"31","RP","RP-2-5",48.593908,-120.370935,842,"closed",6.6,529,"SORSIT",0.355237154150198,-1.16860028636663
"32","RP","RP-2-5",48.593908,-120.370935,842,"closed",6.6,529,"VACPAR",-0.760738374156905,-1.1552001717291
"33","RP","RP-2-5",48.593908,-120.370935,842,"closed",6.6,529,"ERILAN",-0.354330708661417,-0.867820421459839
"34","RP","RP-2-5",48.593908,-120.370935,842,"closed",6.6,529,"MAIDIL",-0.298994974874372,-1.13328837741675
"35","RP","RP-2-5",48.593908,-120.370935,842,"closed",6.6,529,"TOLMEN",-0.7856093979442,-1.38845553822153
"36","RP","RP-2-5",48.593908,-120.370935,842,"closed",6.6,529,"CARSTI",-0.63092401376754,-0.887035106013208
"37","RP","RP-2-6",48.594162,-120.370485,831,"open",6.5,532,"ABIGRA",-0.877703826955075,-1.08230063380948
"38","RP","RP-2-6",48.594162,-120.370485,831,"open",6.5,532,"PICSIT",-0.587121212121212,-1.03370383650054
"39","RP","RP-2-6",48.594162,-120.370485,831,"open",6.5,532,"PINPON",-0.634357005758157,-0.771342552431495
"40","RP","RP-2-6",48.594162,-120.370485,831,"open",6.5,532,"MAHNER",-0.831275720164609,-1.13999580536913
"41","RP","RP-2-6",48.594162,-120.370485,831,"open",6.5,532,"RUBURS",-1.26223091976517,-1.11906492711482
"42","RP","RP-2-6",48.594162,-120.370485,831,"open",6.5,532,"SAMCER",-0.63855421686747,-0.75466829444244
"43","RP","RP-2-6",48.594162,-120.370485,831,"open",6.5,532,"SORSIT",0.335474308300396,-1.1667427731125
"44","RP","RP-2-6",48.594162,-120.370485,831,"open",6.5,532,"VACPAR",-0.789137380191693,-1.15336021711464
"45","RP","RP-2-6",48.594162,-120.370485,831,"open",6.5,532,"ERILAN",-0.37007874015748,-0.865377176015474
"46","RP","RP-2-6",48.594162,-120.370485,831,"open",6.5,532,"MAIDIL",-0.324120603015075,-1.13115888663123
"47","RP","RP-2-6",48.594162,-120.370485,831,"open",6.5,532,"TOLMEN",-0.814977973568282,-1.38622687764653
"48","RP","RP-2-6",48.594162,-120.370485,831,"open",6.5,532,"CARSTI",-0.652104845115171,-0.883243277403861
"49","RP","RP-3-1",48.588093,-120.479231,794,"closed",6.1,555,"ABIGRA",-1.0108153078203,-1.04748841169237
"50","RP","RP-3-1",48.588093,-120.479231,794,"closed",6.1,555,"PICSIT",-0.708333333333333,-1.0172104697024
"51","RP","RP-3-1",48.588093,-120.479231,794,"closed",6.1,555,"PINPON",-0.711132437619961,-0.747869571873246
"52","RP","RP-3-1",48.588093,-120.479231,794,"closed",6.1,555,"MAHNER",-0.941015089163237,-1.12391638702461
"53","RP","RP-3-1",48.588093,-120.479231,794,"closed",6.1,555,"RUBURS",-1.36660143509459,-1.10146535562612
"54","RP","RP-3-1",48.588093,-120.479231,794,"closed",6.1,555,"SAMCER",-0.734939759036145,-0.729141810715574
"55","RP","RP-3-1",48.588093,-120.479231,794,"closed",6.1,555,"SORSIT",0.256422924901187,-1.15250183816416
"56","RP","RP-3-1",48.588093,-120.479231,794,"closed",6.1,555,"VACPAR",-0.902733404330849,-1.13925389840384
"57","RP","RP-3-1",48.588093,-120.479231,794,"closed",6.1,555,"ERILAN",-0.433070866141732,-0.846645627608673
"58","RP","RP-3-1",48.588093,-120.479231,794,"closed",6.1,555,"MAIDIL",-0.424623115577889,-1.11483279060895
"59","RP","RP-3-1",48.588093,-120.479231,794,"closed",6.1,555,"TOLMEN",-0.932452276064611,-1.36914047990491
"60","RP","RP-3-1",48.588093,-120.479231,794,"closed",6.1,555,"CARSTI",-0.736828170505692,-0.854172591398869
"61","RP","RP-3-2",48.58826,-120.47924,814,"open",6.1,559,"ABIGRA",-1.0108153078203,-1.04143411219374
"62","RP","RP-3-2",48.58826,-120.47924,814,"open",6.1,559,"PICSIT",-0.708333333333333,-1.01434205808534
"63","RP","RP-3-2",48.58826,-120.47924,814,"open",6.1,559,"PINPON",-0.711132437619961,-0.743787314384855
"64","RP","RP-3-2",48.58826,-120.47924,814,"open",6.1,559,"MAHNER",-0.941015089163237,-1.12111996644295
"65","RP","RP-3-2",48.58826,-120.47924,814,"open",6.1,559,"RUBURS",-1.36660143509459,-1.09840456058461
"66","RP","RP-3-2",48.58826,-120.47924,814,"open",6.1,559,"SAMCER",-0.734939759036145,-0.724702422241336
"67","RP","RP-3-2",48.58826,-120.47924,814,"open",6.1,559,"SORSIT",0.256422924901187,-1.15002515382532
"68","RP","RP-3-2",48.58826,-120.47924,814,"open",6.1,559,"VACPAR",-0.902733404330849,-1.13680062558457
"69","RP","RP-3-2",48.58826,-120.47924,814,"open",6.1,559,"ERILAN",-0.433070866141732,-0.843387967016186
"70","RP","RP-3-2",48.58826,-120.47924,814,"open",6.1,559,"MAIDIL",-0.424623115577889,-1.11199346956159
"71","RP","RP-3-2",48.58826,-120.47924,814,"open",6.1,559,"TOLMEN",-0.932452276064611,-1.36616893247158
"72","RP","RP-3-2",48.58826,-120.47924,814,"open",6.1,559,"CARSTI",-0.736828170505692,-0.84911681991974
"73","RP","RP-4-5",48.607268,-120.384118,1036,"closed",6,585,"ABIGRA",-1.04409317803661,-1.00208116545265
"74","RP","RP-4-5",48.607268,-120.384118,1036,"closed",6,585,"PICSIT",-0.738636363636364,-0.995697382574399
"75","RP","RP-4-5",48.607268,-120.384118,1036,"closed",6,585,"PINPON",-0.730326295585412,-0.717252640710313
"76","RP","RP-4-5",48.607268,-120.384118,1036,"closed",6,585,"MAHNER",-0.968449931412894,-1.10294323266219
"77","RP","RP-4-5",48.607268,-120.384118,1036,"closed",6,585,"RUBURS",-1.39269406392694,-1.07850939281478
"78","RP","RP-4-5",48.607268,-120.384118,1036,"closed",6,585,"SAMCER",-0.759036144578313,-0.695846397158791
"79","RP","RP-4-5",48.607268,-120.384118,1036,"closed",6,585,"SORSIT",0.236660079051384,-1.13392670562285
"80","RP","RP-4-5",48.607268,-120.384118,1036,"closed",6,585,"VACPAR",-0.931132410365637,-1.12085435225931
"81","RP","RP-4-5",48.607268,-120.384118,1036,"closed",6,585,"ERILAN",-0.448818897637795,-0.822213173165021
"82","RP","RP-4-5",48.607268,-120.384118,1036,"closed",6,585,"MAIDIL",-0.449748743718593,-1.09353788275379
"83","RP","RP-4-5",48.607268,-120.384118,1036,"closed",6,585,"TOLMEN",-0.961820851688693,-1.34685387415497
"84","RP","RP-4-5",48.607268,-120.384118,1036,"closed",6,585,"CARSTI",-0.758009001853323,-0.8162543053054
"85","RP","RP-4-6",48.60741,-120.383899,1036,"open",6,585,"ABIGRA",-1.04409317803661,-1.00208116545265
"86","RP","RP-4-6",48.60741,-120.383899,1036,"open",6,585,"PICSIT",-0.738636363636364,-0.995697382574399
"87","RP","RP-4-6",48.60741,-120.383899,1036,"open",6,585,"PINPON",-0.730326295585412,-0.717252640710313
"88","RP","RP-4-6",48.60741,-120.383899,1036,"open",6,585,"MAHNER",-0.968449931412894,-1.10294323266219
"89","RP","RP-4-6",48.60741,-120.383899,1036,"open",6,585,"RUBURS",-1.39269406392694,-1.07850939281478
"90","RP","RP-4-6",48.60741,-120.383899,1036,"open",6,585,"SAMCER",-0.759036144578313,-0.695846397158791
"91","RP","RP-4-6",48.60741,-120.383899,1036,"open",6,585,"SORSIT",0.236660079051384,-1.13392670562285
"92","RP","RP-4-6",48.60741,-120.383899,1036,"open",6,585,"VACPAR",-0.931132410365637,-1.12085435225931
"93","RP","RP-4-6",48.60741,-120.383899,1036,"open",6,585,"ERILAN",-0.448818897637795,-0.822213173165021
"94","RP","RP-4-6",48.60741,-120.383899,1036,"open",6,585,"MAIDIL",-0.449748743718593,-1.09353788275379
"95","RP","RP-4-6",48.60741,-120.383899,1036,"open",6,585,"TOLMEN",-0.961820851688693,-1.34685387415497
"96","RP","RP-4-6",48.60741,-120.383899,1036,"open",6,585,"CARSTI",-0.758009001853323,-0.8162543053054
"97","RP","RP-5-5",48.613741,-120.408238,1110,"closed",5.6,606,"ABIGRA",-1.17720465890183,-0.970296093084855
"98","RP","RP-5-5",48.613741,-120.408238,1110,"closed",5.6,606,"PICSIT",-0.859848484848485,-0.980638221584797
"99","RP","RP-5-5",48.613741,-120.408238,1110,"closed",5.6,606,"PINPON",-0.807101727447217,-0.695820788896259
"100","RP","RP-5-5",48.613741,-120.408238,1110,"closed",5.6,606,"MAHNER",-1.07818930041152,-1.0882620246085
"101","RP","RP-5-5",48.613741,-120.408238,1110,"closed",5.6,606,"RUBURS",-1.49706457925636,-1.06244021884685
"102","RP","RP-5-5",48.613741,-120.408238,1110,"closed",5.6,606,"SAMCER",-0.855421686746988,-0.672539607669044
"103","RP","RP-5-5",48.613741,-120.408238,1110,"closed",5.6,606,"SORSIT",0.157608695652175,-1.12092411284393
"104","RP","RP-5-5",48.613741,-120.408238,1110,"closed",5.6,606,"VACPAR",-1.04472843450479,-1.10797466995814
"105","RP","RP-5-5",48.613741,-120.408238,1110,"closed",5.6,606,"ERILAN",-0.511811023622047,-0.805110455054464
"106","RP","RP-5-5",48.613741,-120.408238,1110,"closed",5.6,606,"MAIDIL",-0.550251256281407,-1.07863144725518
"107","RP","RP-5-5",48.613741,-120.408238,1110,"closed",5.6,606,"TOLMEN",-1.07929515418502,-1.33125325013001
"108","RP","RP-5-5",48.613741,-120.408238,1110,"closed",5.6,606,"CARSTI",-0.842732327243844,-0.789711505039972
"109","RP","RP-5-6",48.613954,-120.408623,1117,"open",5.6,607,"ABIGRA",-1.17720465890183,-0.968782518210198
"110","RP","RP-5-6",48.613954,-120.408623,1117,"open",5.6,607,"PICSIT",-0.859848484848485,-0.979921118680531
"111","RP","RP-5-6",48.613954,-120.408623,1117,"open",5.6,607,"PINPON",-0.807101727447217,-0.694800224524162
"112","RP","RP-5-6",48.613954,-120.408623,1117,"open",5.6,607,"MAHNER",-1.07818930041152,-1.08756291946309
"113","RP","RP-5-6",48.613954,-120.408623,1117,"open",5.6,607,"RUBURS",-1.49706457925636,-1.06167502008647
"114","RP","RP-5-6",48.613954,-120.408623,1117,"open",5.6,607,"SAMCER",-0.855421686746988,-0.671429760550484
"115","RP","RP-5-6",48.613954,-120.408623,1117,"open",5.6,607,"SORSIT",0.157608695652175,-1.12030494175922
"116","RP","RP-5-6",48.613954,-120.408623,1117,"open",5.6,607,"VACPAR",-1.04472843450479,-1.10736135175332
"117","RP","RP-5-6",48.613954,-120.408623,1117,"open",5.6,607,"ERILAN",-0.511811023622047,-0.804296039906342
"118","RP","RP-5-6",48.613954,-120.408623,1117,"open",5.6,607,"MAIDIL",-0.550251256281407,-1.07792161699334
"119","RP","RP-5-6",48.613954,-120.408623,1117,"open",5.6,607,"TOLMEN",-1.07929515418502,-1.33051036327167
"120","RP","RP-5-6",48.613954,-120.408623,1117,"open",5.6,607,"CARSTI",-0.842732327243844,-0.78844756217019
"121","RP","RP-6-5",48.616218,-120.40242,1236,"closed",5.4,651,"ABIGRA",-1.24376039933444,-0.902185223725286
"122","RP","RP-6-5",48.616218,-120.40242,1236,"closed",5.4,651,"PICSIT",-0.920454545454545,-0.948368590892793
"123","RP","RP-6-5",48.616218,-120.40242,1236,"closed",5.4,651,"PINPON",-0.845489443378118,-0.64989539215186
"124","RP","RP-6-5",48.616218,-120.40242,1236,"closed",5.4,651,"MAHNER",-1.13305898491084,-1.05680229306488
"125","RP","RP-6-5",48.616218,-120.40242,1236,"closed",5.4,651,"RUBURS",-1.54924983692107,-1.02800627462984
"126","RP","RP-6-5",48.616218,-120.40242,1236,"closed",5.4,651,"SAMCER",-0.903614457831325,-0.62259648733387
"127","RP","RP-6-5",48.616218,-120.40242,1236,"closed",5.4,651,"SORSIT",0.11808300395257,-1.09306141403196
"128","RP","RP-6-5",48.616218,-120.40242,1236,"closed",5.4,651,"VACPAR",-1.10152644657437,-1.08037535074135
"129","RP","RP-6-5",48.616218,-120.40242,1236,"closed",5.4,651,"ERILAN",-0.543307086614173,-0.768461773388985
"130","RP","RP-6-5",48.616218,-120.40242,1236,"closed",5.4,651,"MAIDIL",-0.600502512562814,-1.04668908547244
"131","RP","RP-6-5",48.616218,-120.40242,1236,"closed",5.4,651,"TOLMEN",-1.13803230543319,-1.29782334150509
"132","RP","RP-6-5",48.616218,-120.40242,1236,"closed",5.4,651,"CARSTI",-0.885093989939105,-0.732834075899769
"133","RP","RP-6-6",48.616283,-120.402945,1236,"open",5.3,654,"ABIGRA",-1.27703826955075,-0.897644499101315
"134","RP","RP-6-6",48.616283,-120.402945,1236,"open",5.3,654,"PICSIT",-0.950757575757576,-0.946217282179993
"135","RP","RP-6-6",48.616283,-120.402945,1236,"open",5.3,654,"PINPON",-0.86468330134357,-0.646833699035566
"136","RP","RP-6-6",48.616283,-120.402945,1236,"open",5.3,654,"MAHNER",-1.16049382716049,-1.05470497762864
"137","RP","RP-6-6",48.616283,-120.402945,1236,"open",5.3,654,"RUBURS",-1.57534246575343,-1.0257106783487
"138","RP","RP-6-6",48.616283,-120.402945,1236,"open",5.3,654,"SAMCER",-0.927710843373494,-0.619266945978191
"139","RP","RP-6-6",48.616283,-120.402945,1236,"open",5.3,654,"SORSIT",0.0983201581027675,-1.09120390077783
"140","RP","RP-6-6",48.616283,-120.402945,1236,"open",5.3,654,"VACPAR",-1.12992545260916,-1.0785353961269
"141","RP","RP-6-6",48.616283,-120.402945,1236,"open",5.3,654,"ERILAN",-0.559055118110236,-0.76601852794462
"142","RP","RP-6-6",48.616283,-120.402945,1236,"open",5.3,654,"MAIDIL",-0.625628140703518,-1.04455959468692
"143","RP","RP-6-6",48.616283,-120.402945,1236,"open",5.3,654,"TOLMEN",-1.16740088105727,-1.29559468093009
"144","RP","RP-6-6",48.616283,-120.402945,1236,"open",5.3,654,"CARSTI",-0.906274821286735,-0.729042247290422
"145","RP","RP-7-5",48.620175,-120.413667,1405,"closed",4.9,714,"ABIGRA",-1.41014975041597,-0.80683000662189
"146","RP","RP-7-5",48.620175,-120.413667,1405,"closed",4.9,714,"PICSIT",-1.0719696969697,-0.903191107923987
"147","RP","RP-7-5",48.620175,-120.413667,1405,"closed",4.9,714,"PINPON",-0.941458733205374,-0.5855998367097
"148","RP","RP-7-5",48.620175,-120.413667,1405,"closed",4.9,714,"MAHNER",-1.27023319615912,-1.0127586689038
"149","RP","RP-7-5",48.620175,-120.413667,1405,"closed",4.9,714,"RUBURS",-1.67971298108284,-0.97979875272602
"150","RP","RP-7-5",48.620175,-120.413667,1405,"closed",4.9,714,"SAMCER",-1.02409638554217,-0.552676118864626
"151","RP","RP-7-5",48.620175,-120.413667,1405,"closed",4.9,714,"SORSIT",0.0192687747035581,-1.05405363569521
"152","RP","RP-7-5",48.620175,-120.413667,1405,"closed",4.9,714,"VACPAR",-1.24352147674831,-1.04173630383784
"153","RP","RP-7-5",48.620175,-120.413667,1405,"closed",4.9,714,"ERILAN",-0.622047244094488,-0.717153619057314
"154","RP","RP-7-5",48.620175,-120.413667,1405,"closed",4.9,714,"MAIDIL",-0.726130653266332,-1.0019697789766
"155","RP","RP-7-5",48.620175,-120.413667,1405,"closed",4.9,714,"TOLMEN",-1.2848751835536,-1.25102146943021
"156","RP","RP-7-5",48.620175,-120.413667,1405,"closed",4.9,714,"CARSTI",-0.990998146677257,-0.653205675103485
"157","RP","RP-7-6",48.620417,-120.413754,1411,"open",4.9,722,"ABIGRA",-1.41014975041597,-0.794721407624633
"158","RP","RP-7-6",48.620417,-120.413754,1411,"open",4.9,722,"PICSIT",-1.0719696969697,-0.897454284689853
"159","RP","RP-7-6",48.620417,-120.413754,1411,"open",4.9,722,"PINPON",-0.941458733205374,-0.577435321732918
