species,func_group,family,full_species,plot_seeded
ABIGRA,tree,abies,Abies grandis,w
ABILAS,tree,abies,Abies lasiocarpa,l
ANEOCC,forb,ranunculaceae,Anemone occidentalis,l
CARSPE,sedge,cyperaceae,Carex spectabilis,l
CARSTI,sedge,cyperaceae,Carex stipata,w
ERILAN,forb,asteraceae,Eriophyllum lanatum,w
ERIPER,forb,asteraceae,Erigeron peregrinus,l
LUPLAT,forb,fabaceae,Lupinus latifolius,l
MAHAQU,shrub,berberidaceae,Mahonia aquifolium,l
MAHNER,shrub,berberidaceae,Mahonia nervosa,w
MAIDIL,forb,asparagaceae,Maianthemum dilatatum,w
MAIRAC,forb,asparagaceae,Maianthemum racemosum,l
PICENG,tree,picea,Picea engelmannii,l
PICSIT,tree,picea,Picea sitchensis,w
PINCON,tree,pinus,Pinus contorta,l
PINPON,tree,pinus,Pinus ponderosa,w
RUBSPE,shrub,rosaceae,Rubus spectabilis,l
RUBURS,shrub,rosaceae,Rubus ursinus,w
SAMCER,shrub,adoxaceae,Sambucus caerulea,w
SAMRAC,shrub,adoxaceae,Sambucus racemosa,l
SORSIT,shrub,rosaceae,Sorbus sitchensis,w
TELGRA,forb,saxifragaceae,Tellima grandiflora,l
TOLMEN,forb,saxifragaceae,Tolmiea menziesii,w
VACDEL,shrub,ericaceae,Vaccinium deliciosum,l
VACPAR,shrub,ericaceae,Vaccinium parvifolium,w
